location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response,semi_clean_text,final_text,wordcloud_text,sentiment,aspects
Batam Centre Ferry Terminal,Izanismsni,True,Local Guide · 29 ulasan · 18 foto,1 bintang,setahun lalu,"KEMUNGKINAN TINDAKAN PENYUAPAN/KORUPSI

Jadi Jumat lalu (21/2/2025), kami bertiga (ibu, saudara laki-laki, dan saya) sedang berlibur akhir pekan ke Batam.

Kami tiba di Terminal Feri Batam Center pukul 9 pagi waktu setempat. Saat mengantre untuk pemeriksaan paspor, saya sedang mengatur roaming untuk mengisi Visa of Arrival (VOA). Di sana, saya dipanggil oleh seorang petugas imigrasi ke kantornya dan ponsel ibu saya dan saya, bersama dengan paspor saya, diambil oleh petugas imigrasi tersebut. Kemudian, dia menyuruh saya menunggu di luar kantornya (saat itu pukul 9.30 pagi waktu Batam). Kira-kira setelah 20-30 menit, dia keluar dari ruang kantornya untuk melayani petugas lain, tetapi ketika dia melihat saya, dia bertanya ""kamu ngapain di sini?"" dua kali karena saya benar-benar tidak tahu apa-apa. Kemudian saya mengatakan kepadanya bahwa ponsel dan paspor saya diambil olehnya. Dia kemudian dengan kasar berkata kepada saya ""ha tahu pun kamu, kamu tahu tidak apa salahmu?"" Saya menjawab, “Saya tadi sedang mengatur layanan roaming saya untuk mengisi VOA saya”. Kemudian, dia memberi tahu saya bahwa roaming dapat dilakukan setelah imigrasi di luar. Saya kemudian hanya diam dan mengangguk pelan. Dia kemudian kembali ke ruangannya dan menghilang entah berapa jam. Sambil menunggu tindakannya, saya hanya duduk di kursi, tidak memprovokasi atau meminta pembebasan karena saya percaya dia hanya melakukan pekerjaannya. Kemudian, ada seorang pria duduk tepat di sebelah saya bertanya apa yang terjadi. Saya mengatakan kepadanya bahwa paspor dan ponsel saya diambil oleh petugas. Dia kemudian dengan lembut mengatakan bahwa dia dapat menawarkan bantuan. Karena curiga dengan tawaran itu (saya merasa bahwa bantuannya disertai dengan uang tip/uang sampingan, saya menjawabnya “Tidak, Papa. Aku tunggu saja”). Pria itu kemudian meninggalkan saya dan pergi menemui pelanggar lain (tidak secara langsung tetapi secara berkala dia akan masuk ke ruangan).

Perlu diingat bahwa selama saya menunggu, ada banyak pelanggar setelah saya yang dibebaskan dalam waktu kurang dari 10 menit menunggu (salah satunya langsung bersama pria yang menawarkan bantuan kepada saya).

Singkat cerita, saya ditahan di ruang tunggu, dari jam 9 pagi sampai 1.30 siang. Saat hendak dibebaskan, petugas wanita itu menyuruh saya untuk tidak menggunakan telepon lagi sambil menunggu pemeriksaan imigrasi. Karena frustrasi ditahan begitu lama tanpa telepon dan paspor, saya menjawabnya dengan satu kata, ""mungkin"". Dia marah dan langsung menolak masuk saya. Saya bilang padanya, ""Tidak apa-apa. Kirim saja saya kembali ke Malaysia karena saya sudah lelah secara mental dan fisik karena menunggu.""

Sambil menunggu feri kembali, dia datang kepada saya dan meminta saya untuk menelepon keluarga saya. Rupanya, ketika petugas feri memberi tahu ibu saya bahwa saya akan dipulangkan karena perilaku ""tidak sopan"", ibu saya menanyakan nama petugas wanita itu kepada petugas feri, dan ingin melaporkannya karena tuduhan yang salah. Saya dituduh bermain ponsel meskipun sudah dua kali diperingatkan oleh petugas lain (padahal, saya sama sekali tidak diperingatkan atas pelanggaran tersebut). Kemudian dia mengizinkan saya masuk setelah mendengar bahwa ibu saya ingin melaporkannya atas kemungkinan tindakan korupsi dan salah tafsir (karena pukul 11.30 pagi waktu Batam, ibu saya masuk ke ruang tunggu untuk menemui saya, dan saya mengatakan kepadanya bahwa ada seorang pria lokal yang menawarkan bantuan kepada saya). Foto terakhir adalah pria yang menawarkan bantuan kepada saya, sedang berbincang dengan petugas wanita tersebut.

Postingan ini bukan untuk menuduh petugas tersebut melakukan tindakan korupsi, tetapi agar pengunjung lebih waspada terhadap kejadian ""pemeriksaan acak/penggunaan ponsel saat di imigrasi"" yang sering terjadi. Juga, agar pihak berwenang menyelidiki keberadaan pria yang menawarkan bantuan kepada saya di kantor Imigrasi Batam Center Ferry. Mengapa dia berada di kantor hampir sepanjang waktu? Juga kepada Ibu Cia, Anda telah membuat saya menunggu selama 4 jam seperti orang bodoh, dan Anda tidak pantas mendapatkan rasa hormat saya.",2,True,,kemungkinan tindakan penyuapan korupsi jadi jumat lalu kami bertiga ibu saudara laki laki dan saya sedang berlibur akhir pekan ke batam kami tiba di terminal feri batam center pukul pagi waktu setempat saat mengantre untuk pemeriksaan paspor saya sedang mengatur roaming untuk mengisi visa of arrival voa di sana saya dipanggil oleh seorang petugas imigrasi ke kantornya dan ponsel ibu saya dan saya bersama dengan paspor saya diambil oleh petugas imigrasi tersebut kemudian dia menyuruh saya menunggu di luar kantornya saat itu pukul pagi waktu batam kira kira setelah menit dia keluar dari ruang kantornya untuk melayani petugas lain tetapi ketika dia melihat saya dia bertanya kamu ngapain di sini dua kali karena saya benar benar tidak tahu apa apa kemudian saya mengatakan kepadanya bahwa ponsel dan paspor saya diambil olehnya dia kemudian dengan kasar berkata kepada saya ha tahu pun kamu kamu tahu tidak apa salahmu saya menjawab saya tadi sedang mengatur layanan roaming saya untuk mengisi voa saya kemudian dia memberi tahu saya bahwa roaming dapat dilakukan setelah imigrasi di luar saya kemudian hanya diam dan mengangguk pelan dia kemudian kembali ke ruangannya dan menghilang entah berapa jam sambil menunggu tindakannya saya hanya duduk di kursi tidak memprovokasi atau meminta pembebasan karena saya percaya dia hanya melakukan pekerjaannya kemudian ada seorang pria duduk tepat di sebelah saya bertanya apa yang terjadi saya mengatakan kepadanya bahwa paspor dan ponsel saya diambil oleh petugas dia kemudian dengan lembut mengatakan bahwa dia dapat menawarkan bantuan karena curiga dengan tawaran itu saya merasa bahwa bantuannya disertai dengan uang tip uang sampingan saya menjawabnya tidak papa aku tunggu saja pria itu kemudian meninggalkan saya dan pergi menemui pelanggar lain tidak secara langsung tetapi secara berkala dia akan masuk ke ruangan perlu diingat bahwa selama saya menunggu ada banyak pelanggar setelah saya yang dibebaskan dalam waktu kurang dari menit menunggu salah satunya langsung bersama pria yang menawarkan bantuan kepada saya singkat cerita saya ditahan di ruang tunggu dari jam pagi sampai siang saat hendak dibebaskan petugas wanita itu menyuruh saya untuk tidak menggunakan telepon lagi sambil menunggu pemeriksaan imigrasi karena frustrasi ditahan begitu lama tanpa telepon dan paspor saya menjawabnya dengan satu kata mungkin dia marah dan langsung menolak masuk saya saya bilang padanya tidak apa apa kirim saja saya kembali ke malaysia karena saya sudah lelah secara mental dan fisik karena menunggu sambil menunggu feri kembali dia datang kepada saya dan meminta saya untuk menelepon keluarga saya rupanya ketika petugas feri memberi tahu ibu saya bahwa saya akan dipulangkan karena perilaku tidak sopan ibu saya menanyakan nama petugas wanita itu kepada petugas feri dan ingin melaporkannya karena tuduhan yang salah saya dituduh bermain ponsel meskipun sudah dua kali diperingatkan oleh petugas lain padahal saya sama sekali tidak diperingatkan atas pelanggaran tersebut kemudian dia mengizinkan saya masuk setelah mendengar bahwa ibu saya ingin melaporkannya atas kemungkinan tindakan korupsi dan salah tafsir karena pukul pagi waktu batam ibu saya masuk ke ruang tunggu untuk menemui saya dan saya mengatakan kepadanya bahwa ada seorang pria lokal yang menawarkan bantuan kepada saya foto terakhir adalah pria yang menawarkan bantuan kepada saya sedang berbincang dengan petugas wanita tersebut postingan ini bukan untuk menuduh petugas tersebut melakukan tindakan korupsi tetapi agar pengunjung lebih waspada terhadap kejadian pemeriksaan acak penggunaan ponsel saat di imigrasi yang sering terjadi juga agar pihak berwenang menyelidiki keberadaan pria yang menawarkan bantuan kepada saya di kantor imigrasi batam center ferry mengapa dia berada di kantor hampir sepanjang waktu juga kepada ibu cia anda telah membuat saya menunggu selama jam seperti orang bodoh dan anda tidak pantas mendapatkan rasa hormat saya,mungkin tindak suap korupsi jumat tiga ibu saudara laki laki libur pekan tiba pukul pagi tempat antre periksa atur roaming isi arrival voa panggil orang tugas imigrasi kantor ponsel ibu sama ambil tugas imigrasi sebut kemudian suruh tunggu kantor pukul pagi kira kira kantor layan tugas lihat tanya kamu ngapain tahu kemudian kata kepada ponsel ambil oleh kemudian kasar kata ha tahu kamu kamu tahu salah jawab tadi atur layan roaming isi voa kemudian beri tahu roaming laku imigrasi kemudian diam angguk pelan kemudian ruang hilang entah berapa tunggu tindak duduk kursi provokasi minta bebas percaya laku kerja kemudian orang pria duduk tepat belah tanya jadi kata kepada ponsel ambil tugas kemudian lembut kata tawar bantu curiga tawar rasa bantu serta tip samping jawab papa pria kemudian tinggal temu langgar langsung kala ruang ingat lama tunggu langgar bebas kurang tunggu satu langsung sama pria tawar bantu singkat cerita tahan pagi siang hendak bebas tugas wanita suruh guna telepon tunggu periksa imigrasi frustrasi tahan lama telepon jawab kata marah langsung tolak bilang pada kirim lelah mental fisik tunggu tunggu minta telepon keluarga rupa tugas beri tahu ibu pulang perilaku sopan ibu tanya nama tugas wanita tugas lapor tuduh tuduh main ponsel ingat tugas sama ingat langgar sebut kemudian izin dengar ibu lapor mungkin tindak korupsi tafsir pukul pagi ibu temu kata kepada orang pria lokal tawar bantu foto akhir pria tawar bantu bincang tugas wanita sebut postingan tuduh tugas sebut laku tindak korupsi unjung waspada jadi periksa acak guna ponsel imigrasi jadi pihak wenang selidik ada pria tawar bantu kantor imigrasi ada kantor hampir panjang ibu cia buat tunggu lama bodoh pantas dapat rasa hormat,kemungkinan tindakan penyuapan korupsi jumat bertiga ibu saudara laki laki berlibur pekan tiba pukul pagi setempat mengantre pemeriksaan mengatur roaming mengisi arrival voa dipanggil seorang petugas imigrasi kantornya ponsel ibu bersama diambil petugas imigrasi tersebut kemudian menyuruh menunggu kantornya pukul pagi kira kira kantornya melayani petugas melihat bertanya kamu ngapain tahu kemudian mengatakan kepadanya ponsel diambil olehnya kemudian kasar berkata ha tahu kamu kamu tahu salahmu menjawab tadi mengatur layanan roaming mengisi voa kemudian memberi tahu roaming dilakukan imigrasi kemudian diam mengangguk pelan kemudian ruangannya menghilang entah berapa menunggu tindakannya duduk kursi memprovokasi meminta pembebasan percaya melakukan pekerjaannya kemudian seorang pria duduk tepat sebelah bertanya terjadi mengatakan kepadanya ponsel diambil petugas kemudian lembut mengatakan menawarkan bantuan curiga tawaran merasa bantuannya disertai tip sampingan menjawabnya papa pria kemudian meninggalkan menemui pelanggar langsung berkala ruangan diingat selama menunggu pelanggar dibebaskan kurang menunggu satunya langsung bersama pria menawarkan bantuan singkat cerita ditahan pagi siang hendak dibebaskan petugas wanita menyuruh menggunakan telepon menunggu pemeriksaan imigrasi frustrasi ditahan lama telepon menjawabnya kata marah langsung menolak bilang padanya kirim lelah mental fisik menunggu menunggu meminta menelepon keluarga rupanya petugas memberi tahu ibu dipulangkan perilaku sopan ibu menanyakan nama petugas wanita petugas melaporkannya tuduhan dituduh bermain ponsel diperingatkan petugas sama diperingatkan pelanggaran tersebut kemudian mengizinkan mendengar ibu melaporkannya kemungkinan tindakan korupsi tafsir pukul pagi ibu menemui mengatakan kepadanya seorang pria lokal menawarkan bantuan foto terakhir pria menawarkan bantuan berbincang petugas wanita tersebut postingan menuduh petugas tersebut melakukan tindakan korupsi pengunjung waspada kejadian pemeriksaan acak penggunaan ponsel imigrasi terjadi pihak berwenang menyelidiki keberadaan pria menawarkan bantuan kantor imigrasi berada kantor hampir sepanjang ibu cia membuat menunggu selama bodoh pantas mendapatkan rasa hormat,NEGATIF,"['Fasilitas', 'Pelayanan', 'Imigrasi', 'Harga', 'Keamanan']"
Batam Centre Ferry Terminal,MAR M,True,Local Guide · 344 ulasan · 1.494 foto,1 bintang,setahun lalu,"28.07.2024

Singkatnya - PANAS. HARGA/TAKSI PENIPUAN. Tidak higienis.
Tempat ini sangat panas. Saya makan siang di sini, dan sayangnya, panasnya membuat saya kehilangan kesabaran. Pintu masuknya, yang dekat dengan kamar mandi, sangat bau dan tidak nyaman saat saya menunggu untuk masuk.
😖😖😖😖 Mengapa harga di dalam tempat ini sangat mahal?

Di luar, semua sopir taksi terus memaksa kami untuk naik taksi mereka, dan mengenakan biaya 100 ribu untuk perjalanan 3 km terasa seperti penipuan. Salut untuk sopir penipu ini—saya sudah menyimpan nomor kontaknya.",0,True,,singkatnya panas harga taksi penipuan tidak higienis tempat ini sangat panas saya makan siang di sini dan sayangnya panasnya membuat saya kehilangan kesabaran pintu masuknya yang dekat dengan kamar mandi sangat bau dan tidak nyaman saat saya menunggu untuk masuk mengapa harga di dalam tempat ini sangat mahal di luar semua sopir taksi terus memaksa kami untuk naik taksi mereka dan mengenakan biaya ribu untuk perjalanan km terasa seperti penipuan salut untuk sopir penipu ini saya sudah menyimpan nomor kontaknya,singkat panas harga tipu higienis panas makan siang sayang panas buat hilang sabar pintu masuk dekat kamar mandi bau nyaman tunggu harga mahal sopir paksa kena biaya ribu jalan km asa tipu salut sopir tipu simpan nomor kontak,singkatnya panas harga penipuan higienis panas makan siang sayangnya panasnya membuat kehilangan kesabaran pintu masuknya dekat kamar mandi bau nyaman menunggu harga mahal sopir memaksa mengenakan biaya ribu perjalanan km terasa penipuan salut sopir penipu menyimpan nomor kontaknya,NEGATIF,"['Fasilitas', 'Kebersihan', 'Akses', 'Harga', 'Kenyamanan', 'Keamanan']"
Batam Centre Ferry Terminal,CONG TIEN VO,True,Local Guide · 82 ulasan · 85 foto,4 bintang,2 tahun lalu,Selamat menikmati!,1,True,,selamat menikmati,selamat nikmat,selamat menikmati,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Genta,True,Local Guide · 1.594 ulasan · 21.246 foto,3 bintang,setahun lalu,"Pelabuhan yang kompak dan efisien ini, menurut saya, PERLU direnovasi karena terasa sangat tua dan ketinggalan zaman. Meskipun begitu, pelabuhan ini berfungsi dengan baik, tidak ada kemacetan atau hambatan, tetapi akan lebih baik jika direnovasi dan ditambahkan jalur untuk imigrasi dan mungkin dipasang gerbang otomatis.",0,True,,pelabuhan yang kompak dan efisien ini menurut saya perlu direnovasi karena terasa sangat tua dan ketinggalan zaman meskipun begitu pelabuhan ini berfungsi dengan baik tidak ada kemacetan atau hambatan tetapi akan lebih baik jika direnovasi dan ditambahkan jalur untuk imigrasi dan mungkin dipasang gerbang otomatis,kompak efisien renovasi asa tua tinggal zaman fungsi baik macet hambat baik renovasi tambah jalur imigrasi pasang otomatis,kompak efisien direnovasi terasa tua ketinggalan zaman berfungsi baik kemacetan hambatan baik direnovasi ditambahkan jalur imigrasi dipasang otomatis,POSITIF,"['Fasilitas', 'Imigrasi', 'Akses', 'Keamanan']"
Batam Centre Ferry Terminal,Son manthaboi,True,Local Guide · 153 ulasan · 12 foto,1 bintang,7 bulan lalu,"Terminal feri yang berantakan. Ohh, tolonglah. Bongkar dan bangun kembali yang baru dengan standar internasional. Para pelancong harap berhati-hati karena tidak ada lift dan naik dengan bagasi berat serta turun menggunakan tangga. Eskalator turun rusak. Loket check-in bagasi sangat menantang. Harap antre lebih awal karena antrean bisa menjadi berantakan dan terlalu panjang. Secara keseluruhan, terminal feri ini membutuhkan banyak perbaikan. Lain kali saya akan menggunakan Harbour Bay saja.",0,False,,terminal feri yang berantakan ohh tolonglah bongkar dan bangun kembali yang baru dengan standar internasional para pelancong harap berhati hati karena tidak ada lift dan naik dengan bagasi berat serta turun menggunakan tangga eskalator turun rusak loket check in bagasi sangat menantang harap antre lebih awal karena antrean bisa menjadi berantakan dan terlalu panjang secara keseluruhan terminal feri ini membutuhkan banyak perbaikan lain kali saya akan menggunakan harbour bay saja,beranta ohh tolong bongkar bangun baru standar lancong harap hati hati lift berat guna tangga eskalator rusak check tantang harap antre antre jadi beranta terlalu panjang seluruh butuh baik guna,berantakan ohh tolonglah bongkar bangun baru standar pelancong harap berhati hati lift berat menggunakan tangga eskalator rusak check menantang harap antre antrean menjadi berantakan terlalu panjang keseluruhan membutuhkan perbaikan menggunakan,NEGATIF,['Fasilitas']
Batam Centre Ferry Terminal,aldof ardy,True,Local Guide · 21 ulasan · 11 foto,4 bintang,7 tahun lalu,Bagus sekali,1,True,,bagus sekali,bagus,bagus,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Jay S,True,Local Guide · 1.232 ulasan · 8.507 foto,4 bintang,sebulan lalu,Transit cepat keluar dari terminal,0,True,,transit cepat keluar dari terminal,transit cepat,transit cepat,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Setiawan Gilang,True,Local Guide · 27 ulasan · 66 foto,5 bintang,4 tahun lalu,Tempat yang bagus,0,False,,tempat yang bagus,bagus,bagus,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Eko Hendratmo A.S (eckö),True,Local Guide · 357 ulasan · 1.782 foto,4 bintang,2 tahun lalu,Tempat yang bagus untuk transisi.,2,True,,tempat yang bagus untuk transisi,bagus transisi,bagus transisi,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Astraeus Tu,True,Local Guide · 124 ulasan · 580 foto,4 bintang,3 tahun lalu,"Di dalam feri lumayan, ada KFC (dengan wifi), tempat penukaran uang, dan agen feri.
Namun, begitu Anda keluar, perbedaannya sangat besar.
Hal pertama yang akan Anda alami adalah jalan setapak yang belum selesai dan tertutup rumput.
Jika Anda berkunjung setelah hujan, jalan berlumpur akan membuat Anda menangis.
Namun, staf bea cukai cukup ramah, sabar, dan membantu, dan hanya butuh sekitar 15 menit untuk menyelesaikan semuanya, lebih cepat jika Anda bebas visa.",0,False,,di dalam feri lumayan ada kfc dengan wifi tempat penukaran uang dan agen feri namun begitu anda keluar perbedaannya sangat besar hal pertama yang akan anda alami adalah jalan setapak yang belum selesai dan tertutup rumput jika anda berkunjung setelah hujan jalan berlumpur akan membuat anda menangis namun staf bea cukai cukup ramah sabar dan membantu dan hanya butuh sekitar menit untuk menyelesaikan semuanya lebih cepat jika anda bebas visa,lumayan kfc wifi tukar agen beda besar pertama alami setapak selesai tutup rumput kunjung hujan lumpur buat menang staf bea cukai ramah sabar bantu butuh selesai semua cepat bebas,lumayan kfc wifi penukaran agen perbedaannya besar pertama alami setapak selesai tertutup rumput berkunjung hujan berlumpur membuat menangis staf bea cukai ramah sabar membantu butuh menyelesaikan semuanya cepat bebas,NEGATIF,"['Fasilitas', 'Pelayanan', 'Imigrasi', 'Tiket']"
Batam Centre Ferry Terminal,Malccs 20,True,Local Guide · 16 ulasan · 47 foto,1 bintang,3 tahun lalu,Masalah keterlambatan feri...,1,False,,masalah keterlambatan feri,masalah lambat,masalah keterlambatan,NEGATIF,['Umum/Lainnya']
